year,gpr
2009,83.1
2010,84.17
2011,90.09
2012,81.47
2013,83.04
2014,100.29
2015,105.95
2016,98.68
2017,107.38
2018,98.55
2019,90.95
2020,77.3
2021,82.07
2022,157.58
2023,121.71
2024,134.45
2025,144.29
2026,142.19
