mineral,date,data_transformation,obs_value
Cobalt,2014-09,INDEX,127.0481499031877
Cobalt,2014-10,INDEX,122.3028440285932
Cobalt,2014-11,INDEX,120.7701072565867
Cobalt,2014-12,INDEX,121.5283603737716
Cobalt,2015-01,INDEX,120.7596557347491
Cobalt,2015-02,INDEX,114.4992853214189
Cobalt,2015-03,INDEX,108.2684093615532
Cobalt,2015-04,INDEX,113.2107676633899
Cobalt,2015-05,INDEX,118.0777747339454
Cobalt,2015-06,INDEX,120.3705091586621
Cobalt,2015-07,INDEX,124.0207850443021
Cobalt,2015-08,INDEX,114.8471379625647
Cobalt,2015-09,INDEX,108.8399076966201
Cobalt,2015-10,INDEX,107.9945310793179
Cobalt,2015-11,INDEX,95.87774037099064
Cobalt,2015-12,INDEX,94.06131216059664
Cobalt,2016-01,INDEX,90.85443648716227
Cobalt,2016-02,INDEX,87.4820663069032
Cobalt,2016-03,INDEX,90.257201324729
Cobalt,2016-04,INDEX,90.32779760285356
Cobalt,2016-05,INDEX,91.95022630591126
Cobalt,2016-06,INDEX,93.04631959090096
Cobalt,2016-07,INDEX,98.51612432026393
Cobalt,2016-08,INDEX,103.2722393548576
Cobalt,2016-09,INDEX,104.5619708778494
Cobalt,2016-10,INDEX,110.7695810925945
Cobalt,2016-11,INDEX,114.903921851487
Cobalt,2016-12,INDEX,124.0581148844869
Cobalt,2017-01,INDEX,136.3542333149557
Cobalt,2017-02,INDEX,168.8896735249545
Cobalt,2017-03,INDEX,207.2200985627403
Cobalt,2017-04,INDEX,217.1965404463205
Cobalt,2017-05,INDEX,215.7685476072851
Cobalt,2017-06,INDEX,225.6160823710856
Cobalt,2017-07,INDEX,229.933854446733
Cobalt,2017-08,INDEX,229.604878340809
Cobalt,2017-09,INDEX,236.1372569362918
Cobalt,2017-10,INDEX,235.2629171439577
Cobalt,2017-11,INDEX,243.950620086652
Cobalt,2017-12,INDEX,285.2413360398717
Cobalt,2018-01,INDEX,303.5479088246191
Cobalt,2018-02,INDEX,317.2895206890418
